Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	0.3500730923233072	0.0677525758742907	0.5477010380122712
DTLZ2	0.339321097620037	0.126726992484833	0.1081482365071482
DTLZ3	0.8625610029298604	0.1297450861580911	0.6404408055681495
DTLZ4	0.3569368379847825	0.1100303920376264	0.1014822843681509
DTLZ5	0.3407163508946	0.1282272848531377	0.1057808065117246
DTLZ6	0.49373993968444	0.11486695660739	0.1020283255812577
DTLZ7	0.6183364438300964	0.5251519906958909	0.5248383927505031
WFG1	0.7204763977139819	1.0174016259455707	0.1180851180179941
WFG2	0.7808922443675749	0.8025496782469891	0.7575569641625918
WFG3	0.3351126095617044	0.0691486186409809	0.0463252149350659
WFG4	0.3692694464954907	0.4560692857111411	0.1310859505129883
WFG5	0.3943545181607775	0.1355989317526095	0.1254673725094387
WFG6	0.3407784303586293	0.1476236195129175	0.0951087081893588
WFG7	0.3543122580304504	0.1491297335131844	0.0968828351805341
WFG8	0.6129730420506311	0.7499022270820107	0.553557966151968
WFG9	0.3836325862614242	0.2108784417631852	0.1392630692506601
